Link,Entity,Label,Occurrences
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,أبي قاسم الفردوسي,اسم,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,أثينا,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,أسبانيا,دولة,3
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,إيران,دولة,9
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,إيطاليا,دولة,2
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,البرتغال,دولة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,الدوحه,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,القاهرة,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,النَصّ,اسم,3
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,الولايات المتحدة الأمريكية,دولة,10
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,الولايات المتحدة الأمريكية,مدينة,10
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,اليابان,دولة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,بروكسل,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,بلجيكا,دولة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,بيركلي,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,تورين,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,جلادستون,مدينة,5
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,جلال الدين الرومي,اسم,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,خليلي,اسم,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,دافوس,مدينة,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,دانتو,اسم,1
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,سان فرانسيسكو,مدينة,2
https://encyclopedia.mathaf.org.qa/ar/bios/Pages/Shirin-Neshat-.aspx,سول,مدينة,1
