Country (English),Country (Arabic),Demonym (Male),Demonym (Female)
South Georgia,جورجيا الجنوبية,South Georgian South Sandwich Islander,South Georgian South Sandwich Islander
Grenada,غرينادا,Grenadian,Grenadian
Switzerland,سويسرا,Swiss,Swiss
Sierra Leone,سيراليون,Sierra Leonean,Sierra Leonean
Hungary,المجر,Hungarian,Hungarian
Taiwan,تايوان,Taiwanese,Taiwanese
Wallis and Futuna,واليس وفوتونا,Wallis and Futuna Islander,Wallis and Futuna Islander
Barbados,باربادوس,Barbadian,Barbadian
Pitcairn Islands,جزر بيتكيرن,Pitcairn Islander,Pitcairn Islander
Ivory Coast,ساحل العاج,Ivorian,Ivorian
Tunisia,تونس,Tunisian,Tunisian
Italy,إيطاليا,Italian,Italian
Benin,بنين,Beninese,Beninese
Indonesia,إندونيسيا,Indonesian,Indonesian
Cape Verde,كابو فيردي,Cape Verdian,Cape Verdian
Saint Kitts and Nevis,سانت كيتس ونيفيس,Kittitian or Nevisian,Kittitian or Nevisian
Laos,لاوس,Laotian,Laotian
Caribbean Netherlands,الجزر الكاريبية الهولندية,Dutch,Dutch
Uganda,أوغندا,Ugandan,Ugandan
Andorra,أندورا,Andorran,Andorran
Burundi,بوروندي,Burundian,Burundian
South Africa,جنوب أفريقيا,South African,South African
France,فرنسا,French,French
Libya,‏ليبيا,Libyan,Libyan
Mexico,المسكيك,Mexican,Mexican
Gabon,الغابون,Gabonese,Gabonese
Northern Mariana Islands,جزر ماريانا الشمالية,American,American
North Macedonia,شمال مقدونيا,Macedonian,Macedonian
China,الصين,Chinese,Chinese
Yemen,اليمن,Yemeni,Yemeni
Saint Barthélemy,سان بارتليمي,Saint Barthélemy Islander,Saint Barthélemy Islander
Guernsey,غيرنزي,Channel Islander,Channel Islander
Solomon Islands,جزر سليمان,Solomon Islander,Solomon Islander
Svalbard and Jan Mayen,سفالبارد ويان ماين,Norwegian,Norwegian
Faroe Islands,جزر فارو,Faroese,Faroese
Uzbekistan,أوزباكستان,Uzbekistani,Uzbekistani
Egypt,مصر,Egyptian,Egyptian
Senegal,السنغال,Senegalese,Senegalese
Sri Lanka,سريلانكا,Sri Lankan,Sri Lankan
Palestine,فلسطين,Palestinian,Palestinian
Bangladesh,بنغلاديش,Bangladeshi,Bangladeshi
Peru,بيرو,Peruvian,Peruvian
Singapore,سنغافورة,Singaporean,Singaporean
Turkey,تركيا,Turkish,Turkish
Afghanistan,أفغانستان,Afghan,Afghan
Aruba,أروبا,Aruban,Aruban
Cook Islands,جزر كوك,Cook Islander,Cook Islander
United Kingdom,المملكة المتحدة,British,British
Zambia,زامبيا,Zambian,Zambian
Finland,فنلندا,Finnish,Finnish
Niger,النيجر,Nigerien,Nigerien
Christmas Island,جزيرة كريسماس,Christmas Islander,Christmas Islander
Tokelau,توكيلاو,Tokelauan,Tokelauan
